name,screen_name,description,followers_count,followers_count,friends_count,listed_count,favourites_count,created_at
phineas and ferb,brockhampster,eat the rich,73,73,618,0,21709,Thu Nov 29 06:56:13 +0000 2018
Livi🧸,livssmuho,,227,227,399,1,3654,Mon Jan 28 17:57:17 +0000 2013
merdan,_merdeezy,صبر,878,878,786,4,25347,Wed Sep 21 23:20:56 +0000 2011
$,II10077,,13,13,781,0,25826,Wed Jul 04 20:07:51 +0000 2018
ivy,ivy07272457,,0,0,95,0,5965,Fri Jan 10 18:10:19 +0000 2020
michelle,michelle_m23_,eternal yin and yang. 🦋,149,149,207,0,20551,Wed May 18 16:56:45 +0000 2016
T,n00dl3_,Acting bitch learn about it,1,1,63,0,17,Wed Apr 29 07:09:48 +0000 2020
sage,residentevjl,multi•nineteen•any pronouns @TA13OOS,100,100,151,0,2309,Sun Feb 16 17:02:16 +0000 2020
Aleex,AleeexSerBel,,1,1,65,0,63,Fri May 17 20:53:57 +0000 2019
Robert Hays,RobertH28986633,Burger but not burger yknow?,9,9,44,0,11,Sat Nov 30 20:48:09 +0000 2019
ren,kaichoussi,ʕ•ᴥ•ʔﾉ♡,363,363,255,1,7055,Mon Oct 22 10:51:31 +0000 2012
p 🪐✨,itosuzumaki,21 • heavily pro black & brown af • 🇮🇳 • she/her • #blacklivesmatter #representasian #freepalestine #abolishice,1887,1887,825,19,67535,Sat Mar 05 18:32:09 +0000 2011
austin hess,austin_hess03,erhs // 21,9,9,67,0,1,Mon Apr 27 04:33:41 +0000 2020
Ty,tmgallery2019,"photography / inspiration account                          
        cornerstone of future superstar media ⭐",2,2,70,0,18,Wed Apr 29 04:16:38 +0000 2020
Kim Kardashian West,KimKardash14n,uh,1,1,93,0,73,Mon Apr 06 19:43:57 +0000 2020
Nikki,Cyaanium,,14,14,160,0,9958,Thu Aug 20 12:55:18 +0000 2015
Jacob,CrashWasTaken,,191,191,333,0,36780,Fri Oct 10 20:14:07 +0000 2014
MADELINE MILLER,purpdarain,TXST she/her,151,151,138,0,16270,Tue Nov 28 17:08:32 +0000 2017
renas,IslamChristian1,,2,2,80,0,9,Wed Apr 29 03:14:49 +0000 2020
Gabriel,Gabriel21425133,shut,2,2,24,0,1,Wed Dec 18 18:32:43 +0000 2019
ʙᴀʀʙɪ,lalafilmz,,52,52,181,0,264,Sat Apr 04 21:05:21 +0000 2020
ModernHipHopHead,modernHHhead,modern hip hop head,12,12,167,0,11,Wed Apr 29 01:13:08 +0000 2020
samantha rivas,samantha_rivas1,,4,4,43,0,1119,Thu Jan 31 15:14:42 +0000 2019
emi nsfr,emuflop,the rats,446,446,271,7,20280,Thu Jul 11 21:19:23 +0000 2019
pm✩,aemaurie,what my header says✌🏽,0,0,9,0,0,Wed Apr 29 01:46:54 +0000 2020
moon,moontmelancholy,"|ℎ𝑢𝑛𝑑𝑟𝑒𝑑 𝑡ℎ𝑜𝑢𝑠𝑎𝑛𝑑 𝑚𝑖𝑙𝑒𝑠 𝑔𝑜𝑛𝑒 𝑡𝑜 𝑓𝑜𝑟𝑚 𝑦𝑜𝑢𝑟 𝑙𝑖𝑒, 𝑐𝑜𝑚𝑎𝑡𝑜𝑠𝑒 𝑎𝑛𝑑 𝑙𝑒𝑓𝑡 𝑜𝑛 𝑎 𝑓𝑎𝑢𝑙𝑡𝑙𝑖𝑛𝑒|",14,14,76,0,884,Tue Oct 29 03:48:41 +0000 2019
𝖑𝖊𝖈𝖍𝖊,llllitzy,🐝,25,25,73,0,527,Sun Feb 17 21:20:45 +0000 2013
.,sevond_,imprecise words,81,81,218,0,6096,Sun Jan 20 02:04:17 +0000 2019
karlee🌷,karleeholland,i’m upset,64,64,151,0,408,Wed Dec 25 22:35:57 +0000 2019
ANALUC¡A YANAR,analuciayanar,off chasing sunsets ^^,213,213,315,0,19747,Wed Feb 18 13:51:15 +0000 2015
neo reilly,somebadsignal,,8,8,132,0,45,Mon Apr 13 17:50:43 +0000 2020
Workun’s blacklisted from Silver Sanction,Wcrkun,Tricking on the sticks for @ 🍂 Unsetup Black Ops 3 Player #SilverWorkun,533,533,455,2,9805,Sat May 20 02:38:01 +0000 2017
sarah,mindarise,"books, fashion, movies and series • joshua 1:9",4,4,81,0,94,Sun Apr 26 18:01:49 +0000 2020
Nii,5U5H1__,ˢᵉⁿˢᵃᵗᶦᵒⁿᵃˡ,5556,5556,3234,11,37562,Fri Nov 17 12:21:31 +0000 2017
Bassdaddy,OGMarcus2,biologically made up of the shit that hits different,58,58,114,0,1022,Fri Apr 20 18:46:21 +0000 2018
morgen star,morgenstarmusic,"20, musician 🦋🌈",704,704,41,2,2981,Tue May 09 20:03:29 +0000 2017
LabGoat77,LGoat77,"20
College Student (Freshaman)
Gamer
PreMed
Psychology 
Music
Traveling",1,1,62,0,0,Tue Apr 28 21:05:33 +0000 2020
kt ⚡️,katiekrupinski,"enjoy right now, today!! chicago » texas state ‘23🏖🦋🚀🌻🍭🤹🏼♻️🌸🔮🧞‍♂️🏝☄️👩🏼‍🎤🐛🍒☀️",305,305,324,0,974,Sat Sep 14 20:52:54 +0000 2013
Prod65,Prod651,Live fearless,4,4,54,0,6,Tue Apr 28 07:14:56 +0000 2020
mess,jess67417492,,6,6,62,0,91,Sat Jan 12 22:01:30 +0000 2019
lan,tidythislawn,huzzah!,6,6,98,0,9,Tue Apr 21 05:53:09 +0000 2020
tater onion,tateronion,"""which pair of ripped jeans am i gonna change the world in today?""",74,74,120,0,91,Thu Jan 24 05:08:11 +0000 2019
aoi☁️,aoigbo,🧸,1,1,71,0,3421,Fri Dec 13 12:08:14 +0000 2019
AbByYYyyYyYyYyY,_Abbyy_White_,🐄🐄🐄,7,7,55,0,1298,Mon Oct 22 20:22:12 +0000 2018
Hanno_Sie7,HannoSie7,lndn boi here for tyler n uzi twitter ngl,2,2,10,0,46,Thu Feb 20 14:13:01 +0000 2020
julia ferrara,juliaferrara5,,31,31,58,0,120,Sat Nov 11 22:27:09 +0000 2017
jasmine,goodn1ghtbug,I am a very cool and funny girl. My names also jasmine and I’m cool and funny.,6,6,43,0,7,Mon Apr 27 06:59:27 +0000 2020
jacob,jacobmgalvan,"i don’t dance, i jiggy // UDM",842,842,386,2,20054,Wed Aug 14 02:37:14 +0000 2013
Onda🌊,KyenBoi,Just keep it vibin,61,61,168,0,2272,Thu Oct 24 14:20:01 +0000 2019
Francis,anansishoots,I be talking,747,747,265,1,39107,Fri Oct 19 15:50:46 +0000 2012
A L Y S S A,alyssaenna,oklahoma state,142,142,329,0,9240,Mon Mar 25 01:08:31 +0000 2013
Luca Facchini,lucafacchinii,💛,10,10,49,0,241,Tue Feb 06 03:33:22 +0000 2018
Edgar,snogdope,🏂,865,865,2076,1,606,Fri Mar 04 12:04:05 +0000 2011
Kai jones,Simplykaijones,,26,26,105,0,5836,Tue Nov 03 00:11:46 +0000 2015
allie farris,alliefarrisss,,1449,1449,1149,2,28560,Fri Nov 11 00:04:19 +0000 2011
Jesse Good,Jesse_Good_,musical writer/composer/artist from Kansas City,5,5,121,0,16,Sat Apr 18 00:32:07 +0000 2020
carol 🦋,mybigsaucyass,honestly don’t know what i’m doing,2,2,91,0,1531,Wed May 08 15:45:27 +0000 2019
kami,irenexgold,,73,73,129,0,2104,Mon Feb 20 14:29:34 +0000 2017
joshua,YUNGBEARDRiP,"pls dont listen to my shitty ass music
https://t.co/PXmt6CwL0I",318,318,1637,0,9,Wed Apr 15 04:36:00 +0000 2020
Peter Hill,peterh157,,24,24,37,0,3,Tue Aug 02 21:47:56 +0000 2016
Dezz11,_dezdoesit,VALLEY VALLEY VALLEY,47,47,118,0,514,Wed May 01 23:01:28 +0000 2019
harris+,harrispluscult,+-*,68,68,282,0,1150,Fri May 26 22:55:32 +0000 2017
randmer,_randmer,"consume art, become art",574,574,525,2,8941,Sun Oct 10 15:23:04 +0000 2010
😍😘🤩,starrysunny20,#StandTall,14,14,220,1,468,Wed Sep 30 17:35:59 +0000 2009
F I K E,dominicfikee,"relax, don’t fight the wave.",25,25,15,1,89,Sun Jun 01 05:22:09 +0000 2014
fendi fan boy,loganfendi,"Flashin' The Album Out NOW
https://t.co/JGVO4phYG0  https://t.co/WbpmN8tKdN",7,7,254,0,18,Sun Apr 26 08:57:44 +0000 2020
Aleesha Enomoto,AleeshaEnomoto,,12,12,72,0,67,Wed Dec 26 23:55:31 +0000 2018
jack,SPSSpaceCowboy,SPS President and Syracuse Space Ranger ———Can’t catch me won’t catch me misdemeanor gone,24,24,88,0,862,Wed Aug 28 17:24:16 +0000 2019
rachel babcock,rachelcbabs,sahs ‘21,3,3,60,0,21,Wed Sep 19 14:07:31 +0000 2018
Emily,em11yfras3r,(:,0,0,7,0,0,Wed Apr 22 08:03:40 +0000 2020
TyJuan,603DarkFigure,Run on a bad track,0,0,5,0,0,Sun May 26 18:42:51 +0000 2019
laina,thereal_cuntt,if you eat tomatoes please stop,1,1,10,0,4,Tue Apr 28 05:46:24 +0000 2020
lilpermi,lilpermi,artists/rapper,3,3,33,0,4,Tue Apr 28 05:05:28 +0000 2020
Adanna Chukwu,skinnytallb1tch,,0,0,21,0,1194,Mon Dec 16 00:40:19 +0000 2019
Billie Daniels,billiedaniels34,"Va Beach girl who loves family 1st, my job, education (student 4 life), spending time with friends, and my dog Roxy.",62,62,870,0,983,Thu Mar 19 21:34:27 +0000 2015
Jono Stanbury,jono_stanbury,"my diary, without context.",9,9,23,0,41,Mon Nov 14 10:57:50 +0000 2016
s ♡,luledielli__,wanna live an aesthetic life idc ♬*✧･ﾟ,51,51,317,0,962,Thu Dec 20 22:48:09 +0000 2018
tiger,tigeramodeo,pasta enthusiast,9,9,56,0,1407,Wed Jun 27 00:30:25 +0000 2018
j o e y 🌐,joseph_rustia,king of everything,112,112,386,0,2434,Fri Sep 23 03:02:16 +0000 2016
Drew,creger_drew,"Yah Boobay

Ashland University '21",494,494,508,1,6103,Sun Apr 12 05:50:32 +0000 2015
katrina,katrina56203868,,1,1,18,0,142,Thu Jun 20 03:00:57 +0000 2019
r,feartheracomer3,this is my notes app gtfo,13,13,222,0,19295,Sat Jul 05 18:18:54 +0000 2014
gerós,fabiogeros,value  perception,162,162,143,0,4073,Fri Sep 26 10:11:35 +0000 2014
audrey,bumadrii,dont blame me for falling,52,52,172,0,6146,Wed Nov 21 23:17:01 +0000 2018
shazzzzzaaaaa,Shazza1998x,"HND Sports Coaching & Development Student, Avid Gamer and Football Fan, everyone deserves a second chance in life",2282,2282,4562,9,20244,Sat Feb 25 15:48:28 +0000 2012
erica,ericamartinez0,(y)uhhhh,78,78,148,0,2143,Sat Jan 05 20:50:17 +0000 2019
𝓆𝓊𝒾,ayexqui,i miss one direction,884,884,160,25,88032,Sat Jul 10 03:38:30 +0000 2010
deus,lildeuss,afk,249,249,288,0,472,Thu Jan 22 20:54:52 +0000 2015
Cami,camilavparedes,bigjokes,78,78,190,0,2523,Tue Jun 23 01:48:53 +0000 2015
Tiara Maistry,tiaraxmaistry,saved by grace.,346,346,235,1,5504,Tue Mar 26 06:36:16 +0000 2013
bianca,biancaamarinn,,194,194,93,1,7384,Tue Jul 09 04:42:50 +0000 2013
trin,yourlocalclxwn,here for a good time not a long time,4,4,14,0,15,Thu Mar 12 23:35:43 +0000 2020
alexis,alkargakos,hey,11,11,196,0,781,Fri Feb 15 15:48:41 +0000 2019
💤,notjocelynex,idek I’m done,26,26,280,0,8949,Sat Jun 17 17:16:44 +0000 2017
Mica,micating,sc-micajt19,35,35,66,0,369,Wed Nov 07 19:54:19 +0000 2018
hera,hmaverion,she/her(a),53,53,64,0,3738,Thu Jan 28 04:09:08 +0000 2016
Ava 🌱,avamaryd,i just want to live in a cottage in europe is that too much to ask,4,4,20,0,14,Tue Apr 21 17:18:22 +0000 2020
jill,jillisshort,hehe,14,14,194,0,108,Mon Apr 27 18:52:36 +0000 2020
Natalye☀️,Flores_Natalye,I dress how I feel,3,3,9,0,87,Thu Nov 17 16:04:33 +0000 2016
Arap. Chubby Chubz,chemweno_evans,"Supporter of Kenyan Acts and anything and Everything Kenyan.🇰🇪🇰🇪🇰🇪
Gaming Enthusiast . Liverpool FC.
@BaldurtheCableguy on Steam. Engineering student. 🌍",629,629,1559,0,25622,Fri May 12 13:56:28 +0000 2017
trash music taste,TasteTrash,"Just having fun :) don't take me serious 
I have not so great music opinions but imma express em anyway lmao",1,1,58,0,0,Mon Apr 27 18:38:20 +0000 2020
Kev-in Kealy,kevinkealy20,St.Pats Dublin & Donegal,350,350,888,1,18891,Fri Sep 06 16:50:49 +0000 2013
luke,fikesuns,shit shit shit,7,7,23,0,7,Mon Apr 27 18:43:17 +0000 2020
Brian,skinnybonebrian,idk how to use this,21,21,26,0,614,Tue Mar 24 04:25:25 +0000 2015
💚,LorenHampton_,6’2 Ninja \ I’m a different me,157,157,201,0,867,Sat May 04 19:54:21 +0000 2013
𝔪𝔞𝔦𝔰𝔞,HEAVENSVIRTUE,westcoast collective,18,18,30,0,248,Sat Jul 14 04:45:10 +0000 2018
masoncharles,MasonCharless,CHECK OUT MY EP! ⬇️,44,44,91,0,92,Mon Jan 13 23:26:13 +0000 2020
Ria ✨,riashemar,,11,11,33,0,3,Thu Apr 16 15:44:23 +0000 2020
𝔪𝔞𝔦𝔰𝔞,losthisrose,açaí bowl by dominic fike,2333,2333,362,17,47243,Sat Jun 07 18:37:07 +0000 2014
Felix!,karanjasworld,l-/,40,40,112,0,297,Thu Aug 01 14:06:36 +0000 2019
Joeun Kim,JoeunKim5,,2,2,32,0,0,Mon Apr 27 15:51:48 +0000 2020
𝔪𝔶𝔞,myafromguam,IG: myaanaa | SC: myaana,1004,1004,495,9,58198,Tue Mar 19 11:17:36 +0000 2013
Juli Gallegos,JuliGallegos02,LHS💜💛 Kansas born and raised🌾 Class of 2020🎓,100,100,147,0,532,Wed Jan 17 20:50:57 +0000 2018
D♡N♡!!,mirajanestr4uss,izuku midoriya’s birthday twin,0,0,258,0,5117,Sun Jun 11 16:29:39 +0000 2017
Harry McMaster,HarryM287,Uni of Leeds | Wirral,24,24,127,0,2,Wed May 29 11:23:45 +0000 2019
white broncos,ytbroncos,do not follow me,1,1,46,0,91,Sat Dec 14 09:52:18 +0000 2019
Cath! 🤏🏽,lildeviiil,👩‍❤️‍💋‍👩,6,6,58,0,43,Mon Apr 27 14:11:00 +0000 2020
charon 🌓,ComeauAidan,,134,134,107,0,13609,Wed Oct 22 01:15:25 +0000 2014
Trel Dee,treldee,former gas jockey,30,30,141,2,431,Sun Feb 24 05:33:22 +0000 2013
josh,discface,design + youtube,879,879,1043,17,25869,Fri Aug 09 07:35:23 +0000 2013
aldy,aldymainer,this is gays only event,0,0,19,0,3,Fri Nov 01 01:05:07 +0000 2019
the shade,Shades835521,Cool stuff everyone... Cool stuff ✌✌,4,4,190,0,4,Thu Apr 02 11:51:05 +0000 2020
🦋𝕸𝖎𝖐𝖍𝖊𝖓𝖘𝖔 𝕽𝖊𝖓𝖌𝖆𝖓𝖊🖤,jimmy666k,,15,15,5,0,130,Thu Dec 21 15:06:25 +0000 2017
dav,davhatesithere,seventh time i got suspended......,63,63,100,1,2393,Mon Mar 09 19:49:31 +0000 2020
Sabian,Botchoggg,,61,61,239,0,1165,Wed Nov 13 19:32:00 +0000 2019
theint !,watermelonfike,"good morning, good afternoon and good night to harry styles and dominic fike",4,4,59,0,44,Tue Oct 09 10:21:28 +0000 2018
YUGI BEATS,yugionthebeat,BEATMAKER | PRODUCER Business Inquires : contact.yugibeats@gmail.com,135,135,198,2,8147,Fri Jul 06 07:22:40 +0000 2018
Raven ‧₊˚✧ | h⁰ŕňý éřā,ChromaticaTrk14,"Fan Account #Chromatica  
Not affiliated with any brand            
Gaga, Marina, Lana, Taylor & Dua",357,357,981,0,17890,Tue Mar 05 08:41:30 +0000 2019
Analise,analisevictori,,104,104,114,0,6314,Mon Jun 01 19:05:26 +0000 2015
FTP,saultorres666,FuckThePopulation,749,749,2392,2,12512,Mon Sep 12 05:38:46 +0000 2016
izzyycaa,izzyycaa,growth 🌱,1,1,19,0,0,Wed Apr 22 19:25:07 +0000 2020
Seby.👺,rubixshxt,¯\_(ツ)_/¯,2,2,50,0,52,Fri Dec 13 23:51:07 +0000 2019
Gods Greatest Creation,DummyHummies,undeniably great at everything I do,101,101,84,1,14283,Fri Oct 18 01:47:49 +0000 2013
sabhyeta,itsokaysab,,4,4,8,0,21,Wed Nov 07 17:40:27 +0000 2018
Sam,sambiggs77,!¡,7,7,87,0,69,Tue Jul 26 21:01:48 +0000 2016
Ari,arrxana_,20| Ave ❤,614,614,124,2,74196,Tue Apr 23 20:34:12 +0000 2013
daniela,daniela58082280,,0,0,2,0,0,Thu Jan 02 03:43:35 +0000 2020
Sal,salcusimano,"I’m both sides of a ☯️. Humble, but very good looking an very funny.",1,1,8,0,4,Sun Mar 08 05:44:49 +0000 2020
𝙹,jayshugart,🖤 I Make Stuff // Wanna Buy Clothes? //https://t.co/pVi5fmIeLt // Prints For Sale Below 🖤,588,588,365,1,14615,Sat May 12 15:47:54 +0000 2012
Jacob Wright,4Dolan4,,1385,1385,619,19,25747,Thu May 24 19:22:22 +0000 2012
LANIE (not as sad%),2laaiinz,~skinny legend with a phat ass~ • ZTA Alumnae • PLUR • 🔜 Ubbi Dubbi meets Freaky Deaky (???),1126,1126,864,10,90220,Sun Jul 26 17:46:21 +0000 2015
lilz!!,Lilianguyenn,♈︎ | jack ♡,485,485,391,3,42165,Sun Sep 22 08:39:04 +0000 2013
Owen Wilcox,Wilcox_28,Nahs Scholar ‘21,203,203,365,0,3049,Thu Jun 16 19:00:42 +0000 2016
leah,bearfacies,uhhhhhh,13,13,102,0,51,Thu Feb 27 22:10:41 +0000 2020
Love,S0211H,Guaranteed to blow your mind.     •Slytherin•Aquarius•Bored,739,739,233,3,97197,Sat Feb 23 20:03:23 +0000 2013
STREAM GINGER,ROXANNEISREAL,that’s a real big kitty,100,100,150,2,780,Mon Mar 02 01:58:03 +0000 2020
elena (backup),AB0YISAGUN,backup for @NEWMAGlCWAND,168,168,302,1,689,Fri Mar 17 05:32:05 +0000 2017
Alexia,peachycadaver,"IG: peachycadaver, 22 cancerian ♋️ , Cell and Molecular Biology major, Katya Zamolodchikova and Trixie Mattel ❤️",18,18,89,0,555,Mon Sep 26 19:50:54 +0000 2016
🤬,StoryOfTarzan,"Be Gay, Be Cheap, Be Selfish, Do Crime. 

You probably wouldn't vibe with my zodiac sign.

hobbies include and whatever makes me happy in the moment",341,341,97,8,11539,Thu Jun 11 04:20:52 +0000 2015
romysaa,romysaa_,🇲🇦,143,143,131,0,86476,Tue Nov 26 01:03:37 +0000 2013
piff,piffskii,“life rips”- Chris Delia,12,12,41,0,2,Mon Apr 27 03:16:02 +0000 2020
Teodora Marinescu,teosfish,Teodora Marinescu is a student at UIC. She is currently studying Communication and Italian and is hoping to explore a career in PR.,22,22,91,1,317,Wed Aug 22 17:08:11 +0000 2018
gabi,reptiIiana,Mundinho Robert Pattinson Brasil,21,21,48,0,2802,Fri Nov 15 21:21:02 +0000 2019
kyla 🦦,KylaMGalura,alive ahaha fuck ♉️,18,18,63,0,3204,Mon Mar 13 17:38:48 +0000 2017
Emma,emmlnjoycnds,"belle âme.
📍🇵🇭
instagram: @emmaaaaholic",6,6,249,0,246,Mon Apr 20 10:26:01 +0000 2020
NPH,nikole_ph,,462,462,406,5,29708,Wed Apr 28 21:39:42 +0000 2010
Kalli,iamkallicoutley,,0,0,21,0,51,Wed Dec 26 21:23:19 +0000 2018
maddie!!!,fooIing,beetlejuice stan,5822,5822,257,274,434326,Tue Apr 14 06:39:41 +0000 2015
STEPH STAN ACC,stanstephssalty,SIMP4STEPH,36,36,67,0,27,Mon Apr 27 00:16:32 +0000 2020
gina,_rachina,,39,39,89,0,748,Wed Dec 02 05:53:38 +0000 2015
ELIJAH LEWIS,elijahlewis__,just another person who wants to do something big🥴,12,12,31,0,5236,Fri Jul 07 03:24:25 +0000 2017
Dylly,Dylly18,,5,5,140,0,11,Mon Apr 27 01:12:24 +0000 2020
baily 🌻,BailyKirsten,pimpin ain’t easy,423,423,1579,0,20288,Tue Feb 03 11:19:19 +0000 2015
feeloutmymind,feeloutmymind,👻:idontdied ig :feeloutmymind,16,16,147,0,3493,Fri Dec 20 21:14:05 +0000 2019
mari,losso_,,155,155,79,0,14248,Sat Jan 20 16:46:20 +0000 2018
mrk,mrkdlmrcd,2001,111,111,355,0,1528,Thu Jun 05 21:01:53 +0000 2014
Giulietta Von Cramm,lettielou112,,41,41,52,0,871,Wed Sep 05 20:55:13 +0000 2018
ana,BlRDSDONTSlNG,honey boy (2019) dir. alma har’el,802,802,179,35,25326,Mon May 26 07:24:19 +0000 2014
🍂,bitterfaIIs,backup,0,0,11,0,2,Sun Apr 12 05:28:55 +0000 2020
tayyibah,itsnottayyibah,"alright dude, go trip over a knife",11,11,103,0,842,Fri Jun 07 16:05:38 +0000 2019
Rose,RoseXia7,,5,5,98,0,434,Mon Oct 08 02:12:36 +0000 2018
Miranhabea16,biiiaaluliano,Apenas sobrevivendo,28,28,146,0,1475,Tue Sep 22 10:10:25 +0000 2015
𝐿𝒾𝓁 🌹,liilyroseeluna,one of a kind,748,748,697,1,47914,Sun Apr 28 03:16:46 +0000 2013
Pauline,paulinevibal,¯\_(ツ)_/¯,214,214,252,0,33506,Mon May 28 01:44:24 +0000 2018
Tabatha Gallegos,__tabathaaa__,🥶❄️,251,251,469,0,13767,Mon Dec 21 06:06:32 +0000 2015
a boy is gun,Dextermufasa,"icreate  Images, Music ,Art",599,599,771,0,26744,Wed Nov 23 22:13:26 +0000 2016
ً,lostinIcve,,75,75,327,0,7201,Sat Mar 12 03:47:49 +0000 2016
ʕ•ᴥ•ʔ,100NlCKY,"umd comp e | cs, music, film, nats, and eagles ❦",275,275,232,3,18725,Wed Dec 28 21:46:51 +0000 2016
Maria,Maria55269334,Part of Your World is equivalent to 505 at 4am,2,2,93,0,93,Fri Apr 17 09:56:30 +0000 2020
Michael Scott,vdollaz_,🇩🇴 🇵🇪,1194,1194,831,23,4138,Sat Jan 22 03:30:54 +0000 2011
❕,cocainnaa,,1592,1592,357,7,14575,Wed Jul 31 19:17:48 +0000 2013
kait loves 50SOS 🍒,kaitlovestimmy,i like the way you say things,146,146,206,1,1085,Tue Nov 19 20:15:22 +0000 2019
mac,macschmidt32,yale 2020,353,353,514,2,7550,Wed Jun 06 13:26:05 +0000 2012
FåtHëAd🦷,_Brooke0Mariie_,insta: @brookemwilliams_,285,285,382,1,2715,Sun Jan 04 04:40:24 +0000 2015
